"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"LBM","Lumbo","MZ","Luabo",36.0,-18.4139,36.1068
"LBN","Lake Baringo","KE","Lake Baringo",3226.0,0.666103,36.1042
"LBO","Lusambo","CD","Lusambo",1407.0,-4.96167,23.3783
"LBP","Long Banga","MY","Long Banga",750.0,3.20214,115.402
"LBQ","Lambarene","GA","Lambarene",82.0,-0.704389,10.2457
"LBR","Labrea, AM","BR","Lábrea",190.0,-7.27897,-64.7695
"LBS","Labasa","FJ","",44.0,-16.4667,179.34
"LBT","Lumberton, NC","US","Lumberton",126.0,34.6108,-79.0594
"LBU","Labuan","MY","Labuan",101.0,5.30068,115.25
"LBV","Libreville","GA","Libreville",39.0,0.4586,9.41228
"LBW","Juvai Semaring","ID","Long Bawan",3165.0,3.9028,115.692
"LBX","Lubang, MC","PH","",43.0,13.8554,120.105
"LBY","Escoublac","FR","La Baule",105.0,47.2894,-2.34639
"LBZ","Lukapa","AO","Lucapa",3029.0,-8.44573,20.7321
"LCA","Larnaca","CY","Larnaca",8.0,34.8751,33.6249
"LCB","Pontes e Lacerda, MT","BR","Pontes e Lacerda",870.0,-15.1934,-59.3848
"LCC","Galatina","IT","Lecce",156.0,40.2392,18.1333
"LCD","Louis Trichardt","ZA","Louis Trichardt",3025.0,-23.0619,29.8647
"LCE","Goloson Int'l","HN","La Ceiba",39.0,15.7425,-86.853
"LCF","Las Vegas","GT","Rio Dulce",28.0,15.6684,-88.9618
"LCG","La Coruna","ES","La Coruna",326.0,43.3021,-8.37726
"LCH","Lake Charles","US","Lake Charles",15.0,30.1261,-93.2233
"LCI","Municipal, NH","US","Laconia",545.0,43.5727,-71.4189
"LCJ","Lodz","PL","Lodz",604.0,51.7219,19.3981
"LCK","Columbus, oh","US","Columbus, ohio",744.0,39.8138,-82.9278
"LCL","La Coloma","CU","Pinar del Rio",131.0,22.3361,-83.6419
"LCM","La Cumbre, CD","AR","La Cumbre",3733.0,-31.0058,-64.5319
"LCN","Balcanoona, SA","AU","",144.0,-30.535,139.337
"LCO","Lague","CG","Lague",2756.0,-2.45,14.533
"LCR","La Chorrera","CO","La Chorrera",709.0,-0.733333,-73.0167
"LCV","Tassignano","IT","Lucca",39.0,43.8258,10.5779
"LCY","London City","GB","London",19.0,51.5053,0.055278
"LDA","Malda","IN","Malda",79.0,25.0102,88.1269
"LDB","Londrina, PR","BR","Londrina",1867.0,-23.3336,-51.1301
"LDE","Lourdes","FR","Lourdes/Tarbes",1260.0,43.1787,-0.006439
"LDH","Lord Howe Island, NS","AU","Lord Howe Island",5.0,-31.5382,159.075
"LDI","Kikwetu","TZ","Lindi",100.0,-9.851,39.7591
"LDJ","Linden, NJ","US","Linden",23.0,40.6174,-74.2446
"LDK","Lidkoping","SE","Lidkoping",200.0,58.4655,13.1744
"LDM","Mason County, MI","US","Ludington",646.0,43.9625,-86.4079
"LDN","Lamidada","NP","Lamidanda",4100.0,27.2531,86.67
"LDO","Ladoeanie","SR","Aurora",236.0,4.37611,-55.4071
"LDU","Lahad Datu","MY","Lahad Datu",45.0,5.03225,118.324
"LDV","Landivisiau","FR","Landivisiau",348.0,48.5303,-4.15164
"LDW","Lansdowne, WA","AU","Lansdowne Station",1190.0,-17.6128,126.743
"LDX","Saint-Laurent du Maroni","GF","Saint-Laurent-du-Maroni",16.0,5.48306,-54.0344
"LDY","Londonderry","GB","Londonderry",22.0,55.0428,-7.16111
"LDZ","Londolozi","ZA","Londolozi",1300.0,-24.7478,31.4743
"LEA","Learmonth, WA","AU","Exmouth",19.0,-22.2352,114.09
"LEB","Municipal, NH","US","Lebanon",603.0,43.6261,-72.3042
"LED","St.Petersburg","RU","St.Petersburg",78.0,59.8003,30.2625
"LEE","Leesburg, FL","US","Leesburg",76.0,28.8231,-81.8087
"LEF","Lebakeng","LS","Lebakeng",6000.0,-29.8908,28.6556
"LEH","Le Havre","FR","Le Havre",313.0,49.5339,0.088056
"LEI","Almeria","ES","Almeria",70.0,36.8439,-2.3701
"LEJ","Leipzig","DE","Leipzig",465.0,51.4239,12.2364
"LEK","Tata","GN","Labe",3396.0,11.3375,-12.2909
"LEL","Lake Evella, NT","AU","",256.0,-12.4989,135.806
"LEM","Lemmon, SD","US","Lemmon",2571.0,45.9187,-102.106
"LEN","Leon Airport","ES","Leon",3006.0,42.589,-5.65556
"LEO","Leconi","GA","Lekoni",2036.0,-1.5724,14.2878
"LEP","Leopoldina, MG","BR","Leopoldina",919.0,-21.4661,-42.727
"LEQ","Saint Just","GB","Land's End",398.0,50.1028,-5.67056
"LER","Leinster, WA","AU","",1631.0,-27.8433,120.703
"LES","Lesobeng","LS","Lesobeng",7130.0,-29.7556,28.3571
"LET","Gen. Alfredo Vasquez Cobo,","CO","Leticia",277.0,-4.19355,-69.9432
"LEU","De la Seu","ES","Seo de Urgel",2625.0,42.3386,1.40917
"LEV","Levuka","FJ","Bureta",11.0,-17.7111,178.759
"LEW","Auburn, ME","US","Lewiston",288.0,44.0485,-70.2835
"LEX","Lexington","US","Lexington",979.0,38.0365,-84.6059
"LEY","Lelystad","NL","Lelystad",-13.0,52.4603,5.52722
"LEZ","La Esperanza","HN","La Esperanza",5475.0,14.2911,-88.175
"LFI","Hampton","US","Hampton",11.0,37.0829,-76.3605
"LFK","Angelina County, TX","US","Lufkin",296.0,31.234,-94.75
"LFN","Franklin County, NC","US","Louisburg",369.0,36.0233,-78.3303
"LFO","Callaf","ET","Kelafo",1730.0,5.657,44.35
"LFP","Meaux","AU","Meaux",107.0,-14.9207,144.203
"LFR","La Fria, TA","VE","",305.0,8.23917,-72.271
"LFT","Lafayette","US","Lafayette",42.0,30.2053,-91.9876
"LFW","Lome","TG","Lome",72.0,6.16561,1.25451
"LGA","New York Lga","US","New York",21.0,40.7772,-73.8726
"LGB","Long Beach","US","Long Beach",60.0,33.8165,-118.15
"LGC","Callaway, GA","US","La Grange",693.0,33.0089,-85.0743
"LGD","Union County, OR","US","La Grande",2717.0,45.2902,-118.007
"LGE","Lake Gregory, WA","AU","Lake Gregory",978.0,-20.1089,127.619
"LGF","Laguna AAF, AZ","US","Yuma",433.0,32.86,-114.397
"LGG","Liege","BE","Liege",659.0,50.6374,5.44322
"LGH","Leigh Creek, SA","AU","",856.0,-30.5983,138.426
"LGI","Deadman's Cay, Long Island","BS","Deadman's Cay",9.0,23.179,-75.0936
"LGK","Langkawi","MY","Langkawi",29.0,6.32973,99.7287
"LGL","Longlellang","MY","Long Datih",1400.0,3.421,115.154
"LGN","Linga Linga","PG","Linga Linga",17.0,-5.53194,149.734
"LGO","LANGEOOG","DE","Langeoog",7.0,53.7425,7.49778
